Allocated 943820800, Freeing 752583383, ratio 0.797380
Allocated 943824896, Freeing 752586809, ratio 0.797380
Allocated 943833088, Freeing 752595001, ratio 0.797381
Allocated 943833088, Freeing 752594128, ratio 0.797381
Allocated 943841280, Freeing 752602320, ratio 0.797382
Allocated 943841280, Freeing 752601393, ratio 0.797381
Allocated 943841280, Freeing 752601228, ratio 0.797381
Allocated 943845376, Freeing 752601954, ratio 0.797378
Allocated 943853568, Freeing 752610146, ratio 0.797380
Allocated 943853568, Freeing 752609898, ratio 0.797380
Allocated 943853568, Freeing 752609721, ratio 0.797380
Allocated 943853568, Freeing 752609499, ratio 0.797380
Allocated 943857664, Freeing 752609740, ratio 0.797376
Allocated 943857664, Freeing 752609649, ratio 0.797376
Allocated 943857664, Freeing 752609089, ratio 0.797376
Allocated 943865856, Freeing 752617281, ratio 0.797377
Allocated 943874048, Freeing 752625473, ratio 0.797379
Allocated 943878144, Freeing 752626410, ratio 0.797377
Allocated 943886336, Freeing 752634602, ratio 0.797378
Allocated 943886336, Freeing 752634577, ratio 0.797378
Allocated 943886336, Freeing 752633821, ratio 0.797378
Allocated 943894528, Freeing 752642013, ratio 0.797379
Allocated 943894528, Freeing 752641252, ratio 0.797379
Allocated 943898624, Freeing 752642248, ratio 0.797376
Allocated 943906816, Freeing 752650440, ratio 0.797378
Allocated 943910912, Freeing 752652078, ratio 0.797376
Allocated 943919104, Freeing 752660270, ratio 0.797378
Allocated 943927296, Freeing 752668462, ratio 0.797380
Allocated 943927296, Freeing 752666152, ratio 0.797377
Allocated 943935488, Freeing 752674344, ratio 0.797379
Allocated 943943680, Freeing 752682536, ratio 0.797381
Allocated 943943680, Freeing 752682396, ratio 0.797381
Allocated 943947776, Freeing 752682763, ratio 0.797378
Allocated 943947776, Freeing 752682751, ratio 0.797378
Allocated 943951872, Freeing 752684952, ratio 0.797376
Allocated 943955968, Freeing 752688060, ratio 0.797376
Allocated 943964160, Freeing 752696252, ratio 0.797378
Allocated 943972352, Freeing 752704444, ratio 0.797380
Allocated 943972352, Freeing 752703063, ratio 0.797378
Allocated 943976448, Freeing 752704535, ratio 0.797376
Allocated 943976448, Freeing 752703303, ratio 0.797375
Allocated 943984640, Freeing 752711495, ratio 0.797377
